Cat.,Model Name,Stock No.,Model,Ext.,Int.,Yr.,VIN,Accessories,DIS,Invoice,Total SRP,Advertised,Online,Promotable,Cmpgn.,Presold,Res.,Comments,RDR
G,Corolla XSE,S261968,1866Q,01L7,EB26,2026,5YFT4MCE1TP296396,FE 2T,5,"28,779.40","30,444.00",30444,Online,true,No campaign,false,N,,None
G,C-HR XSE,S261763,2419A,0089,EA20,2026,JTMAAAAD6TJ024021,FE CY EN PC SR 2T,27,"41,989.40","43,584.00",41999,Online,true,No campaign,false,N,SHANES HOUSE,None
G,Camry LE AWD,S262406,2552S,0218,FA20,2026,4T1DBADK1TU070189,FE CP CY SR 2T 3Y D5 MF,7,"33,331.40","35,663.00",35663,Offline,true,No campaign,false,Y,JV#PEREZ,New Interface
G,Camry XLE,S262216,2560S,08Z3,LA20,2026,4T1DAACK5TU785724,FE PC QP 2T 9L,19,"40,185.40","43,149.00",43149,Offline,true,No campaign,false,N,,ReversalStockReturnReceipt
G,Camry SE,S261980,2561S,0040,EA20,2026,4T1DAACK4TU360205,FE 2T,6,"31,670.40","33,714.00",33714,Online,true,No campaign,false,N,,None
G,Camry SE,,2561S,0218,EA10,2026,4T1DAACK4TU789425,FE CP CY SR UP 2T,4,"34,078.40","36,419.00",36419,Offline,true,No campaign,false,N,,None
G,bZ XLE,S261729,2870M,01L5,EB20,2026,JTMBCAEB4TA011873,FE KO PC 2T,32,"38,997.00","40,309.00",38999,Online,true,No campaign,false,N,,None
G,bZ XLE,S261863,2872M,01L5,EB20,2026,JTMBDAFB9TA014568,FE KO PC PR 2T,5,"41,790.00","43,309.00",41792,Online,true,No campaign,false,N,,None
G,RAV4 XLE Premium,S262125,4444C,0089,EE40,2026,4T36CRAV0TU009362,FE CY PC 2T,4,"38,579.40","40,284.00",40284,Online,true,No campaign,false,Y,MG FRITZ,None
G,RAV4 XLE Premium,S262043,4444C,03T3,EE10,2026,4T36CRAV6TU008801,FE CY PC 2T,6,"38,579.40","40,284.00",40284,Online,true,No campaign,true,Y,MH CAMPANELLI,None
G,RAV4 XLE Premium,S262041,4444C,03T3,EE40,2026,4T36CRAV6TU009124,FE CY DA PC SR 2T D5,4,"40,940.40","42,949.00",42949,Online,true,No campaign,true,Y,DL#LOVE,None
G,RAV4 SE,S262190,4524C,0040,FC20,2026,4T36CRAV8TU008556,FE CP CY 63 MF,4,"37,183.40","38,829.00",38829,Online,true,No campaign,false,Y,NF#BORISOV,None
G,RAV4 SE,S261946,4524C,04V8,FC20,2026,2T36CRAV0TW094932,FE CP CY 2T,5,"37,170.40","38,809.00",38809,Online,,No campaign,true,Y,JH#BRENNEMAN,None
G,RAV4 XSE,S262123,4530C,0218,EC20,2026,4T36CRAV1TU009614,FE CY DA EJ SR 2T MF,4,"43,427.40","45,509.00",45509,Online,true,No campaign,false,Y,HS Green,None
G,Sienna XLE,S262395,5407S,08X8,EA15,2026,5TDYSKFC9TS286653,FE AC EJ 1Y 2T 3P G4 MF,11,"48,476.40","52,084.00",52084,Offline,true,No campaign,false,Y,BB FIFIELD,None
G,Sienna Limited,S262312,5415S,0089,LA25,2026,5TDZSKFC0TS288683,FE AC EY IM PC 2T MF WL,6,"54,546.40","58,510.00",58510,Online,true,No campaign,false,Y,TH WALL 9/14,None
G,Land Cruiser,S272431,6167C,0040,LB20,2027,JTEABFAJ5VK078435,FE AA CC PP SF TL 62 6E G4,1,"67,629.40","72,895.00",72895,Offline,true,No campaign,false,Y,MH,None
G,Land Cruiser,S271743,6167A,01L7,EB20,2027,JTEABFAJ1VK076892,FE AA BG MR SF TL 62,14,"63,477.40","68,210.00",66847,Online,true,No campaign,false,N,,None
G,Land Cruiser,S272412,6167A,02ZC,LB20,2027,JTEABFAJXVK069763,FE AA BG PJ PP SF SJ TL 62 87 D5 DK,6,"68,502.36","73,868.00",73868,Offline,true,No campaign,false,N,,None
G,Grand Highlander Hybrid MAX Platinum,S262087,6732S,0218,LA20,2026,5TDADAB52TS054537,FE 2T 87 DH MF,6,"58,857.40","63,353.00",63353,Online,true,No campaign,false,Y,JH#GARCIA,None
G,Grand Highlander Hybrid Nightshade,S262059,6733S,0089,LD20,2026,5TDACAB5XTS125471,FE BK PC SB SR 1S 1Y 2T 3P 43 59 BM D5 G4 GN MF RB WL,6,"57,407.40","62,001.00",62001,Offline,true,No campaign,false,Y,AW#GRIEP,New Interface
G,Tacoma SR5,S261878,7540U,0040,FF10,2026,3TMLB5JN3TM308926,FE SM ST 2T MF,14,"43,313.40","45,999.00",43499,Online,true,No campaign,false,N,,None
